pid,name,team,age,height,weight,gp,pts,reb,ast,net rating,season
3790,Fred VanVleet,5295,26,185.42,89.357624,54,17.6,3.8,6.6,4.8,2019-20
3797,Furkan Korkmaz,5279,22,200.66,91.625584,72,9.8,2.3,1.1,2.7,2019-20
3800,Gabe Vincent,5256,24,190.5,90.7184,9,2.4,0.6,0.7,-15.9,2019-20
3806,Garrett Temple,5211,34,195.58,88.45044,62,10.3,3.5,2.5,-1.4,2019-20
3810,Garrison Mathews,5302,23,195.58,97.52228,18,5.4,1.3,0.6,7.1,2019-20
3813,Gary Clark,5276,25,198.12,102.0582,42,3.7,2.6,0.4,-5.1,2019-20
3816,Gary Harris,5230,25,193.04,95.25432,56,10.4,2.9,2.1,3.4,2019-20
3819,Gary Payton II,5302,27,190.5,88.45044,29,3.9,2.8,1.7,-14.3,2019-20
3823,Gary Trent Jr.,5286,21,195.58,94.800728,61,8.9,1.6,1,-1.4,2019-20
3826,George Hill,5260,34,190.5,85.275296,59,9.4,3,3.1,10.6,2019-20
3829,Georges Niang,5299,27,200.66,104.32616,66,5.9,1.9,0.7,-1.1,2019-20
3832,Giannis Antetokounmpo,5260,25,210.82,109.769264,63,29.5,13.6,5.6,15.4,2019-20
3836,Glenn Robinson III,5279,26,198.12,100.697424,62,11.7,4.4,1.5,-7.8,2019-20
3839,Goga Bitadze,5243,20,210.82,113.398,54,3.2,2,0.4,-1.4,2019-20
3842,Goran Dragic,5256,34,190.5,86.18248,59,16.2,3.2,5.1,3.5,2019-20
3846,Gordon Hayward,5214,30,200.66,102.0582,52,17.5,6.7,4.1,8.5,2019-20
3849,Gorgui Dieng,5253,30,208.28,114.305184,63,7.4,5.6,1.2,-3.6,2019-20
3855,Grant Williams,5214,21,198.12,107.047712,69,3.4,2.6,1,6.3,2019-20
3859,Grayson Allen,5253,24,193.04,89.811216,38,8.7,2.2,1.4,-6,2019-20
3865,Hamidou Diallo,5273,21,195.58,91.625584,46,6.9,3.6,0.8,0.9,2019-20
3868,Harrison Barnes,5289,28,203.2,102.0582,72,14.5,4.9,2.2,-2.5,2019-20
3872,Harry Giles III,5289,22,210.82,108.86208,46,6.9,4.1,1.3,-8.2,2019-20
3875,Hassan Whiteside,5286,31,213.36,120.20188,67,15.5,13.5,1.2,2.7,2019-20
3878,Henry Ellenson,5211,23,208.28,108.86208,5,0.4,1.2,0.2,27.3,2019-20
3881,Ian Mahinmi,5302,33,210.82,118.841104,38,7.4,5.7,1.3,-4.5,2019-20
3885,Ignas Brazdeikis,5269,21,198.12,100.243832,9,1.9,0.6,0.4,-7.1,2019-20
3888,Iman Shumpert,5211,30,195.58,96.161504,13,4.2,2.6,0.9,-9,2019-20
3895,Isaac Bonga,5302,20,203.2,81.64656,66,5,3.4,1.2,-0.4,2019-20
3901,Isaiah Hartenstein,5240,22,213.36,113.398,23,4.7,3.9,0.8,8.7,2019-20
3787,Frank Ntilikina,5269,21,193.04,90.7184,57,6.3,2.1,3,-3.9,2019-20
3908,Isaiah Roby,5273,22,203.2,104.32616,3,0,0.7,0,-11.5,2019-20
3784,Frank Mason,5260,26,180.34,86.18248,9,6.9,2.1,3.2,-1.8,2019-20
3777,Frank Jackson,5266,22,190.5,92.98636,59,6.3,1.4,1,-3.4,2019-20
3669,Domantas Sabonis,5243,24,210.82,108.86208,62,18.5,12.4,5,3.1,2019-20
3672,Donovan Mitchell,5299,23,185.42,97.52228,69,24,4.4,4.3,2.6,2019-20
3676,Donta Hall,5211,22,205.74,103.872568,9,4.3,4.2,0.4,-12,2019-20
3679,Donte DiVincenzo,5260,23,193.04,92.079176,66,9.2,4.8,2.3,12.2,2019-20
3682,Dorian Finney-Smith,5227,27,200.66,99.79024,71,9.5,5.7,1.6,6.5,2019-20
3686,Doug McDermott,5243,28,200.66,102.0582,69,10.3,2.5,1.1,3.2,2019-20
3689,Dragan Bender,5237,22,213.36,112.944408,16,6.7,4.6,1.8,1.1,2019-20
3692,Draymond Green,5237,30,198.12,104.32616,43,8,6.2,6.2,-7.2,2019-20
3695,Drew Eubanks,5292,23,205.74,111.13004,22,4.9,3.9,0.7,-11,2019-20
3699,Duncan Robinson,5256,26,200.66,97.52228,73,13.5,3.2,1.4,7.5,2019-20
3702,Dusty Hannahs,5253,26,190.5,95.25432,2,6,0.5,0,17.2,2019-20
3705,Dwayne Bacon,5217,24,198.12,100.243832,39,5.7,2.6,1.3,-8.2,2019-20
3708,Dwight Howard,5250,34,208.28,120.20188,69,7.5,7.3,0.7,5.9,2019-20
3712,Dwight Powell,5227,28,208.28,108.86208,40,9.4,5.7,1.5,8.9,2019-20
3718,Dzanan Musa,5211,21,205.74,98.429464,40,4.8,2.2,1.1,-2.5,2019-20
3721,E'Twaun Moore,5266,31,190.5,86.636072,56,8.3,2.3,1.4,-2.2,2019-20
3725,Ed Davis,5299,31,205.74,98.883056,28,1.8,3.8,0.4,-15.2,2019-20
3728,Edmond Sumner,5243,24,193.04,88.904032,31,4.9,1.5,1.8,-2.6,2019-20
3731,Elfrid Payton,5269,26,190.5,88.45044,45,10,4.7,7.2,-3,2019-20
3735,Elie Okobo,5282,22,190.5,86.18248,55,4,1.6,2.1,-3.2,2019-20
3744,Emmanuel Mudiay,5299,24,190.5,90.7184,54,7.3,2.3,2.1,-2,2019-20
3748,Enes Kanter,5214,28,208.28,113.398,58,8.1,7.4,1,9.9,2019-20
3751,Eric Bledsoe,5260,30,185.42,97.068688,61,14.9,4.6,5.4,11.8,2019-20
3754,Eric Gordon,5240,31,190.5,97.52228,36,14.4,2,1.5,0.4,2019-20
3757,Eric Mika,5289,25,208.28,105.686936,1,6,7,0,19.5,2019-20
3761,Eric Paschall,5237,23,198.12,115.66596,60,14,4.6,2.1,-10.6,2019-20
3764,Ersan Ilyasova,5260,33,205.74,106.59412,63,6.6,4.8,0.8,4.2,2019-20
3767,Evan Fournier,5276,27,200.66,92.98636,66,18.5,2.6,3.2,-1.8,2019-20
3770,Evan Turner,5263,31,198.12,99.79024,19,3.3,2,2,-11.4,2019-20
3780,Frank Kaminsky,5282,27,213.36,108.86208,39,9.7,4.5,1.9,-1,2019-20
3666,Dion Waiters,5250,28,190.5,95.25432,10,11.1,2.4,2,7.8,2019-20
3914,Isaiah Thomas,5302,31,175.26,83.91452,40,12.2,1.7,3.7,-10.4,2019-20
3921,Ivica Zubac,5246,23,213.36,108.86208,72,8.3,7.5,1.1,8.9,2019-20
4061,Jaylen Hoard,5286,21,203.2,97.975872,13,2.9,2.5,0.3,3,2019-20
4064,Jaylen Nowell,5263,20,193.04,91.171992,15,3.8,0.9,1.3,1.2,2019-20
4068,Jayson Tatum,5214,22,203.2,95.25432,66,23.4,7,3,10.6,2019-20
4071,Jeff Green,5240,33,203.2,106.59412,48,9.4,2.8,1,-3.8,2019-20
4074,Jeff Teague,5207,32,190.5,88.45044,59,10.9,2.4,5.2,-5.7,2019-20
4077,Jerami Grant,5230,26,203.2,95.25432,71,12,3.5,1.2,-2.1,2019-20
4081,Jeremiah Martin,5211,24,187.96,83.91452,9,7.1,1.1,2,-8.4,2019-20
4084,Jeremy Lamb,5243,28,195.58,81.64656,46,12.5,4.3,2.1,-0.9,2019-20
4087,Jeremy Pargo,5237,34,187.96,99.336648,3,8.3,1,2.7,2.4,2019-20
4090,Jerian Grant,5302,27,193.04,89.811216,6,4.5,1,1.5,-3.6,2019-20
4094,Jerome Robinson,5302,23,193.04,86.18248,63,5.1,2,1.4,-1,2019-20
4097,Jevon Carter,5282,24,185.42,90.7184,58,4.9,2,1.4,0.7,2019-20
4100,Jimmy Butler,5256,30,200.66,104.32616,58,19.9,6.7,6,5.2,2019-20
4104,Joakim Noah,5246,35,210.82,105.233344,5,2.8,3.2,1.4,-14.6,2019-20
4107,Joe Chealey,5217,24,193.04,86.18248,4,0.5,0,0.3,-23.4,2019-20
4110,Joe Harris,5211,28,198.12,99.79024,69,14.5,4.3,2.1,0.9,2019-20
4113,Joe Ingles,5299,32,200.66,99.79024,72,9.8,3.9,5.2,5.1,2019-20
4117,Joel Embiid,5279,26,213.36,127.00576,51,23,11.6,3,5.2,2019-20
4120,John Collins,5207,22,205.74,106.59412,41,21.6,10.1,1.5,-5.1,2019-20
4123,John Henson,5233,29,205.74,99.336648,40,5.5,4.1,1.4,-0.7,2019-20
4126,John Konchar,5253,24,195.58,95.25432,19,2.8,2.5,1.2,4.9,2019-20
4133,Johnathan Motley,5246,25,203.2,104.32616,13,2.2,0.8,0.6,5.7,2019-20
4136,Johnathan Williams,5302,25,205.74,103.418976,15,3,4.3,0.5,-11.6,2019-20
4139,Jonah Bolden,5282,24,203.2,102.0582,7,1.4,1.3,0,-3.2,2019-20
4143,Jonas Valanciunas,5253,28,210.82,120.20188,70,14.9,11.3,1.9,0.3,2019-20
4146,Jonathan Isaac,5276,22,210.82,104.32616,34,11.9,6.8,1.4,0.7,2019-20
4153,Jordan Bell,5224,25,203.2,97.975872,29,3.2,2.8,0.6,-1.6,2019-20
4156,Jordan Bone,5233,22,190.5,81.64656,10,1.2,0.4,0.8,-2.9,2019-20
4159,Jordan Clarkson,5299,28,193.04,87.996848,71,15.2,2.6,1.9,-0.5,2019-20
4058,Jaylen Brown,5214,23,198.12,101.151016,57,20.3,6.4,2.1,6.9,2019-20
3917,Ish Smith,5302,31,182.88,79.3786,68,10.9,3.2,4.9,-3.9,2019-20
4048,Jaxson Hayes,5266,20,210.82,99.79024,64,7.4,4,0.9,-1.8,2019-20
4041,Jarrod Uthoff,5302,27,205.74,99.79024,7,2.7,0.9,0,8.1,2019-20
3924,J.J. Barea,5227,36,177.8,81.64656,29,7.7,1.8,3.9,2.9,2019-20
3927,J.P. Macura,5224,25,193.04,92.079176,1,0,0,0,150,2019-20
3930,JJ Redick,5266,36,190.5,90.7184,60,15.3,2.5,2,-1,2019-20
3934,JR Smith,5250,34,198.12,99.79024,6,2.8,0.8,0.5,-16.7,2019-20
3937,Ja Morant,5253,20,190.5,78.925008,67,17.8,3.9,7.3,-0.6,2019-20
3940,JaKarr Sampson,5243,27,200.66,97.068688,34,4.6,2.6,0.6,1.9,2019-20
3944,JaMychal Green,5246,30,203.2,102.965384,63,6.8,6.2,0.8,5,2019-20
3947,JaVale McGee,5250,32,213.36,122.46984,68,6.6,5.7,0.5,5.8,2019-20
3950,Jabari Parker,5289,25,203.2,111.13004,38,14,5.6,1.8,-4.9,2019-20
3953,Jacob Evans,5263,23,193.04,95.25432,29,4.4,1.4,1.1,-11,2019-20
3960,Jae Crowder,5256,29,198.12,106.59412,65,10.5,5.9,2.5,-2.9,2019-20
3966,Jahlil Okafor,5266,24,208.28,122.46984,30,8.1,4.2,1.2,-10.1,2019-20
3973,Jake Layman,5263,26,203.2,94.800728,23,9.1,2.5,0.7,2,2019-20
3976,Jakob Poeltl,5292,24,215.9,111.13004,66,5.6,5.7,1.8,5.7,2019-20
3979,Jalen Brunson,5227,23,185.42,86.18248,57,8.2,2.4,3.3,7.6,2019-20
3986,Jalen Lecque,5282,20,193.04,83.91452,5,2,0.4,0.4,-20.2,2019-20
3989,Jalen McDaniels,5217,22,208.28,92.98636,16,5.6,4.1,0.8,-3.6,2019-20
3996,Jamal Crawford,5211,40,195.58,90.7184,1,5,0,3,26.7,2019-20
3999,Jamal Murray,5230,23,193.04,97.52228,59,18.5,4,4.8,5.3,2019-20
4002,James Ennis III,5276,29,198.12,97.52228,69,6.6,3.6,0.9,0.1,2019-20
4006,James Harden,5240,30,195.58,99.79024,68,34.3,6.6,7.5,5.8,2019-20
4009,James Johnson,5263,33,200.66,108.86208,32,8.4,3.7,2.3,-4.6,2019-20
4019,Jared Dudley,5250,34,198.12,107.501304,45,1.5,1.2,0.6,3.3,2019-20
4022,Jared Harper,5269,22,177.8,79.3786,3,0.7,0,0,-61.1,2019-20
4025,Jaren Jackson Jr.,5253,20,210.82,109.769264,57,17.4,4.6,1.4,-2.6,2019-20
4028,Jarred Vanderbilt,5263,21,205.74,97.068688,11,1.1,0.8,0.2,-23.4,2019-20
4032,Jarrell Brantley,5299,24,195.58,113.398,9,2.7,2.2,1.2,-17,2019-20
4035,Jarrett Allen,5211,22,210.82,110.222856,70,11.1,9.6,1.6,0.9,2019-20
4038,Jarrett Culver,5263,21,198.12,88.45044,63,9.2,3.4,1.7,-3.3,2019-20
4045,Javonte Green,5214,26,193.04,92.98636,48,3.4,1.9,0.5,-2.6,2019-20
3663,Dillon Brooks,5253,24,200.66,102.0582,73,16.2,3.3,2.1,-0.3,2019-20
3656,Dewayne Dedmon,5207,30,213.36,111.13004,44,5.8,5.7,0.5,-0.7,2019-20
3653,Dewan Hernandez,5295,23,208.28,106.59412,6,2.3,2.3,0.5,17.2,2019-20
3281,Bismack Biyombo,5217,27,203.2,115.66596,53,7.4,5.8,0.9,-6.6,2019-20
3284,Blake Griffin,5233,31,205.74,113.398,18,15.5,4.7,3.3,-2.6,2019-20
3287,Boban Marjanovic,5227,31,223.52,131.54168,44,6.6,4.5,0.5,5.5,2019-20
3290,Bobby Portis,5269,25,208.28,113.398,66,10.1,5.1,1.5,-7.9,2019-20
3294,Bogdan Bogdanovic,5289,27,198.12,99.79024,61,15.1,3.4,3.4,-1.7,2019-20
3297,Bojan Bogdanovic,5299,31,203.2,102.511792,63,20.2,4.1,2.1,5.5,2019-20
3300,Bol Bol,5230,20,218.44,99.79024,7,5.7,2.7,0.9,-9.8,2019-20
3303,Brad Wanamaker,5214,30,190.5,95.25432,71,6.9,2,2.5,5,2019-20
3307,Bradley Beal,5302,27,190.5,93.893544,57,30.5,4.2,6.1,-4.5,2019-20
3310,Brandon Clarke,5253,23,203.2,97.52228,58,12.1,5.9,1.4,-0.1,2019-20
3313,Brandon Goodwin,5207,24,182.88,81.64656,34,6.1,2.1,1.5,-13.8,2019-20
3317,Brandon Ingram,5266,22,200.66,86.18248,62,23.8,6.1,4.2,-1.3,2019-20
3320,Brandon Knight,5233,28,187.96,82.553744,25,7.3,1.6,2.8,-7.6,2019-20
3323,Brian Bowen II,5243,21,198.12,86.18248,6,1,1.2,0,15.7,2019-20
3330,Brook Lopez,5260,32,213.36,127.912944,68,12,4.6,1.5,12,2019-20
3333,Bruce Brown,5233,23,193.04,91.625584,58,8.9,4.7,4,-4.3,2019-20
3336,Bruno Caboclo,5240,24,205.74,98.883056,30,3,2,0.4,-5.1,2019-20
3339,Bruno Fernando,5207,21,205.74,108.86208,56,4.3,3.5,0.9,-5.6,2019-20
3343,Bryn Forbes,5292,26,187.96,92.98636,63,11.2,2,1.7,-6.8,2019-20
3346,Buddy Hield,5289,27,193.04,99.79024,72,19.2,4.6,3,-3.1,2019-20
3352,CJ McCollum,5286,28,190.5,86.18248,70,22.2,4.2,4.4,0.5,2019-20
3356,CJ Miles,5302,33,198.12,99.79024,10,6.4,1.2,1.2,-1.3,2019-20
3359,Caleb Martin,5217,24,195.58,92.98636,18,6.2,2.1,1.3,0.8,2019-20
3362,Caleb Swanigan,5286,23,205.74,117.93392,27,2.4,3.7,1.1,-6.5,2019-20
3366,Cam Reddish,5207,20,203.2,98.883056,58,10.5,3.7,1.5,-6.3,2019-20
3369,Cameron Johnson,5282,24,203.2,95.25432,57,8.8,3.3,1.2,1,2019-20
3375,Cameron Payne,5282,25,185.42,83.007336,8,10.9,3.9,3,23.1,2019-20
3382,Caris LeVert,5211,25,198.12,92.98636,45,18.7,4.2,4.4,0.2,2019-20
3385,Carmelo Anthony,5286,36,203.2,107.954896,58,15.4,6.3,1.5,0.6,2019-20
3277,Ben Simmons,5279,23,208.28,108.86208,57,16.4,7.8,8,1.7,2019-20
3388,Carsen Edwards,5214,22,180.34,90.7184,37,3.3,1.3,0.6,-5.5,2019-20
3274,Ben McLemore,5240,27,190.5,88.45044,71,10.1,2.2,0.8,5,2019-20
3268,BJ Johnson,5276,24,200.66,90.7184,10,3,1.5,0.3,-8.1,2019-20
3140,Aaron Holiday,5243,23,182.88,83.91452,66,9.5,2.4,3.4,2.2,2019-20
3147,Abdel Nader,5273,26,195.58,102.0582,55,6.3,1.8,0.7,-4.2,2019-20
3150,Adam Mokoka,5220,21,195.58,86.18248,11,2.9,0.9,0.4,17.1,2019-20
3153,Admiral Schofield,5302,23,195.58,109.315672,33,3,1.4,0.5,-7.1,2019-20
3157,Al Horford,5279,34,205.74,108.86208,67,11.9,6.8,4,3.3,2019-20
3160,Al-Farouq Aminu,5276,29,203.2,99.79024,18,4.3,4.8,1.2,-5.4,2019-20
3163,Alec Burks,5279,28,198.12,97.068688,66,15,4.3,2.9,-6.3,2019-20
3170,Alen Smailagic,5237,19,208.28,97.52228,14,4.2,1.9,0.9,-3,2019-20
3173,Alex Caruso,5250,26,195.58,84.368112,64,5.5,1.9,1.9,9.8,2019-20
3176,Alex Len,5289,27,213.36,113.398,55,8,5.8,0.9,-5.4,2019-20
3179,Alfonzo McKinnie,5224,27,200.66,97.52228,40,4.6,2.8,0.4,-7.4,2019-20
3183,Alize Johnson,5243,24,200.66,96.161504,17,2,2.8,0.4,8.9,2019-20
3186,Allen Crabbe,5263,28,195.58,96.161504,37,4.6,2.1,0.9,-15,2019-20
3189,Allonzo Trier,5269,24,193.04,90.7184,24,6.5,1.2,1.2,-11.1,2019-20
3196,Amile Jefferson,5276,27,205.74,100.697424,18,0.8,1.3,0.2,8.5,2019-20
3199,Amir Coffey,5246,23,200.66,95.25432,18,3.2,0.9,0.8,-0.5,2019-20
3206,Andre Drummond,5224,26,208.28,126.552168,57,17.7,15.2,2.7,-5,2019-20
3209,Andre Iguodala,5256,36,198.12,97.52228,21,4.6,3.7,2.4,-1.9,2019-20
3212,Andre Roberson,5273,28,200.66,95.25432,7,2.9,3.9,0.6,-1.1,2019-20
3215,Andrew Wiggins,5237,25,200.66,89.357624,54,21.8,5.1,3.7,-5.1,2019-20
3219,Anfernee Simons,5286,21,190.5,82.100152,70,8.3,2.2,1.4,-7.6,2019-20
3222,Ante Zizic,5224,23,208.28,120.655472,22,4.4,3,0.3,1.3,2019-20
3225,Anthony Davis,5250,27,208.28,114.758776,62,26.1,9.3,3.2,5,2019-20
3238,Anthony Tolliver,5253,35,203.2,108.86208,55,3.6,2.8,0.8,-6,2019-20
3241,Antonius Cleveland,5227,26,195.58,88.45044,11,1,0.6,0.1,-7.8,2019-20
3245,Anzejs Pasecniks,5302,24,218.44,103.872568,27,5.8,4,0.7,0.2,2019-20
3251,Aron Baynes,5282,33,208.28,117.93392,42,11.5,5.6,1.6,-1.5,2019-20
3258,Austin Rivers,5240,27,190.5,90.7184,68,8.8,2.6,1.7,2.6,2019-20
3261,Avery Bradley,5250,29,190.5,81.64656,49,8.6,2.3,1.3,7.4,2019-20
3271,Bam Adebayo,5256,22,205.74,115.66596,72,15.9,10.2,5.1,5,2019-20
3398,Cedi Osman,5224,25,200.66,104.32616,65,11,3.6,2.4,-9,2019-20
3401,Chandler Hutchison,5220,24,200.66,95.25432,28,7.8,3.9,0.9,-11.9,2019-20
3405,Chandler Parsons,5207,31,205.74,104.32616,5,2.8,1.4,0.6,-29,2019-20
3532,Darius Bazley,5273,20,203.2,94.347136,61,5.6,4,0.7,-3.2,2019-20
3535,Darius Garland,5224,20,185.42,87.089664,59,12.3,1.9,3.9,-8.7,2019-20
3542,Daryl Macon,5256,24,187.96,83.91452,4,0.8,0,0.3,7.6,2019-20
3545,David Nwaba,5240,27,195.58,99.336648,20,5.2,2.3,0.4,7.2,2019-20
3548,Davis Bertans,5302,27,208.28,102.0582,54,15.4,4.5,1.7,-0.3,2019-20
3552,De'Aaron Fox,5289,22,190.5,83.91452,51,21.1,3.8,6.8,-4,2019-20
3555,De'Andre Hunter,5207,22,200.66,102.0582,63,12.3,4.5,1.8,-5.5,2019-20
3558,De'Anthony Melton,5253,22,187.96,90.7184,60,7.6,3.7,2.9,5.1,2019-20
3561,DeAndre Jordan,5211,31,210.82,120.20188,56,8.3,10,1.9,-1.8,2019-20
3565,DeAndre' Bembry,5207,25,195.58,95.25432,43,5.8,3.5,1.9,-11.8,2019-20
3568,DeMar DeRozan,5292,30,198.12,99.79024,68,22.1,5.5,5.6,-1.8,2019-20
3575,DeMarre Carroll,5240,33,198.12,97.52228,24,3.6,2.3,1,0,2019-20
3578,Dean Wade,5224,23,205.74,103.418976,12,1.7,1.6,0.2,-6.5,2019-20
3581,Deandre Ayton,5282,21,210.82,113.398,38,18.2,11.5,1.9,4,2019-20
3588,Dejounte Murray,5292,23,193.04,81.64656,66,10.9,5.8,4.1,-4.2,2019-20
3591,Delon Wright,5227,28,195.58,83.91452,73,6.9,3.8,3.3,1.7,2019-20
3597,Dennis Schroder,5273,26,185.42,78.017824,65,18.9,3.6,4,5.5,2019-20
3601,Dennis Smith Jr.,5269,22,187.96,92.98636,34,5.5,2.3,2.9,-17.1,2019-20
3604,Denzel Valentine,5220,26,193.04,99.79024,36,6.8,2.1,1.2,-5,2019-20
3607,Deonte Burton,5273,26,193.04,108.86208,39,2.7,1.5,0.4,-12.7,2019-20
3610,Derrick Favors,5266,28,205.74,120.20188,51,9,9.8,1.6,4.2,2019-20
3614,Derrick Jones Jr.,5256,23,198.12,95.25432,59,8.5,3.9,1.1,-0.5,2019-20
3617,Derrick Rose,5233,31,187.96,90.7184,50,18.1,2.4,5.6,-3.4,2019-20
3620,Derrick Walton Jr.,5233,25,182.88,83.91452,26,2,0.6,1,-0.9,2019-20
3623,Derrick White,5292,25,193.04,86.18248,68,11.3,3.3,3.5,1,2019-20
3630,Devin Booker,5282,23,195.58,93.439952,70,26.6,4.2,6.5,2.7,2019-20
3643,Devon Hall,5273,24,195.58,97.52228,11,1.8,0.6,1.2,3.8,2019-20
3646,Devontae Cacok,5250,23,203.2,108.86208,1,6,5,1,22.7,2019-20
3650,Devonte' Graham,5217,25,185.42,88.45044,63,18.2,3.4,7.5,-4.5,2019-20
3529,Dario Saric,5282,26,208.28,102.0582,66,10.7,6.2,1.9,-1.2,2019-20
3526,Danuel House Jr.,5240,27,198.12,99.79024,63,10.5,4.2,1.3,3.3,2019-20
3522,Dante Exum,5224,24,195.58,97.068688,35,4.5,1.9,1.1,-8.8,2019-20
3519,Danny Green,5250,33,198.12,97.52228,68,8,3.3,1.3,6.4,2019-20
3408,Charlie Brown Jr.,5207,23,198.12,90.264808,10,2,0.4,0.2,33.9,2019-20
3411,Chasson Randle,5237,27,187.96,83.91452,3,1.7,0.7,1.7,-2,2019-20
3414,Cheick Diallo,5282,23,203.2,99.336648,47,4.7,2.8,0.5,-3.8,2019-20
3418,Chimezie Metu,5292,23,205.74,102.0582,18,3.2,1.8,0.6,-6.7,2019-20
3421,Chris Boucher,5295,27,205.74,90.7184,62,6.6,4.5,0.4,5.7,2019-20
3424,Chris Chiozza,5211,24,180.34,79.3786,28,5.1,1.9,3,9.3,2019-20
3428,Chris Clemons,5240,22,175.26,81.64656,33,4.9,0.9,0.8,-8.8,2019-20
3431,Chris Paul,5273,35,185.42,79.3786,70,17.6,5,6.7,6.9,2019-20
3434,Chris Silva,5256,23,203.2,106.140528,44,3,2.9,0.5,-6,2019-20
3437,Christian Wood,5233,24,208.28,97.068688,62,13.1,6.3,1,2,2019-20
3444,Clint Capela,5207,26,208.28,108.86208,39,13.9,13.8,1.2,2.5,2019-20
3447,Coby White,5220,20,193.04,88.45044,65,13.2,3.5,2.7,-4.4,2019-20
3450,Cody Martin,5217,24,195.58,92.98636,48,5,3.3,2,-3.2,2019-20
3454,Cody Zeller,5217,27,213.36,108.86208,58,11.1,7.1,1.5,-8.3,2019-20
4166,Jordan McRae,5233,29,195.58,81.192968,37,11.5,3.4,2.5,-4.1,2019-20
3460,Collin Sexton,5224,21,185.42,86.18248,65,20.8,3.1,3,-9.2,2019-20
3467,Cory Joseph,5289,28,190.5,90.7184,72,6.4,2.6,3.5,-0.3,2019-20
3470,Courtney Lee,5227,34,195.58,97.52228,24,4.5,1.3,0.5,6.7,2019-20
3473,Cristiano Felicio,5220,27,208.28,122.46984,22,3.9,4.6,0.7,-7.7,2019-20
3477,D'Angelo Russell,5263,24,193.04,87.543256,45,23.1,3.9,6.3,-8.1,2019-20
3480,D.J. Augustin,5276,32,180.34,83.007336,57,10.5,2.1,4.6,1.5,2019-20
3483,D.J. Wilson,5260,24,208.28,104.779752,37,3.6,2.5,0.7,-6.3,2019-20
3486,DaQuan Jeffries,5289,22,195.58,104.32616,13,3.8,1.4,0.5,3,2019-20
3493,Damian Jones,5207,25,210.82,111.13004,55,5.6,3.7,0.6,-12.6,2019-20
3496,Damian Lillard,5286,29,187.96,88.45044,66,30,4.3,8,1.4,2019-20
3499,Damion Lee,5237,27,195.58,95.25432,49,12.7,4.9,2.7,-4.1,2019-20
3503,Damyean Dotson,5269,26,195.58,95.25432,48,6.7,1.9,1.2,-5.3,2019-20
3506,Daniel Gafford,5220,21,208.28,106.140528,43,5.1,2.5,0.5,-1.9,2019-20
3512,Daniel Theis,5214,28,203.2,111.13004,65,9.2,6.6,1.7,7,2019-20
3516,Danilo Gallinari,5273,31,208.28,105.686936,62,18.7,5.2,1.9,5.7,2019-20
3463,Corey Brewer,5289,34,205.74,85.275296,5,1,1.6,0.4,11.2,2019-20
4172,Jordan Poole,5237,21,193.04,87.996848,57,8.8,2.1,2.4,-8.2,2019-20
3137,Aaron Gordon,5276,24,203.2,106.59412,62,14.4,7.7,3.7,-1.2,2019-20
4185,Josh Hart,5266,25,195.58,97.52228,65,10.1,6.5,1.7,-3.1,2019-20
4835,Rondae Hollis-Jefferson,5295,25,198.12,98.429464,60,7,4.7,1.8,4.2,2019-20
4838,Royce O'Neale,5299,27,193.04,102.511792,71,6.3,5.5,2.5,5.2,2019-20
